card_id,girl_id,created_at
1,1,2016-10-31 1:24:53
2,1,2016-10-31 1:24:53
3,1,2016-10-31 1:24:53
4,25,2016-10-31 1:24:53
5,25,2016-10-31 1:24:53
6,25,2016-10-31 1:24:53
7,3,2016-10-31 1:24:53
8,3,2016-10-31 1:24:53
9,3,2016-10-31 1:24:53
10,4,2016-10-31 1:24:53
11,4,2016-10-31 1:24:53
12,4,2016-10-31 1:24:53
13,5,2016-10-31 1:24:53
14,5,2016-10-31 1:24:53
15,5,2016-10-31 1:24:53
16,6,2016-10-31 1:24:53
17,6,2016-10-31 1:24:53
18,6,2016-10-31 1:24:53
19,7,2016-10-31 1:24:53
20,7,2016-10-31 1:24:53
21,7,2016-10-31 1:24:53
22,8,2016-10-31 1:24:53
23,8,2016-10-31 1:24:53
24,8,2016-10-31 1:24:53
25,9,2016-10-31 1:24:53
26,9,2016-10-31 1:24:53
27,9,2016-10-31 1:24:53
28,10,2016-10-31 1:24:53
29,10,2016-10-31 1:24:53
30,10,2016-10-31 1:24:53
31,11,2016-10-31 1:24:53
32,11,2016-10-31 1:24:53
33,11,2016-10-31 1:24:53
34,12,2016-10-31 1:24:53
35,12,2016-10-31 1:24:53
36,12,2016-10-31 1:24:53
37,13,2016-10-31 1:24:53
38,13,2016-10-31 1:24:53
39,13,2016-10-31 1:24:53
40,14,2016-10-31 1:24:53
41,14,2016-10-31 1:24:53
42,14,2016-10-31 1:24:53
43,15,2016-10-31 1:24:53
44,15,2016-10-31 1:24:53
45,15,2016-10-31 1:24:53
46,16,2016-10-31 1:24:53
47,16,2016-10-31 1:24:53
48,16,2016-10-31 1:24:53
49,17,2016-10-31 1:24:53
50,17,2016-10-31 1:24:53
51,17,2016-10-31 1:24:53
52,18,2016-10-31 1:24:53
53,18,2016-10-31 1:24:53
54,18,2016-10-31 1:24:53
55,19,2016-10-31 1:24:53
56,19,2016-10-31 1:24:53
57,19,2016-10-31 1:24:53
58,19,2016-10-31 1:24:53
59,19,2016-10-31 1:24:53
60,19,2016-10-31 1:24:53
61,20,2016-10-31 1:24:53
62,20,2016-10-31 1:24:53
63,20,2016-10-31 1:24:53
64,20,2016-10-31 1:24:53
65,20,2016-10-31 1:24:53
66,20,2016-10-31 1:24:53
67,21,2016-10-31 1:24:53
68,21,2016-10-31 1:24:53
69,21,2016-10-31 1:24:53
70,21,2016-10-31 1:24:53
71,21,2016-10-31 1:24:53
72,21,2016-10-31 1:24:53
73,22,2016-10-31 1:24:53
74,22,2016-10-31 1:24:53
75,22,2016-10-31 1:24:53
76,23,2016-10-31 1:24:53
77,23,2016-10-31 1:24:53
78,23,2016-10-31 1:24:53
79,24,2016-10-31 1:24:53
80,24,2016-10-31 1:24:53
81,24,2016-10-31 1:24:53
82,2,2016-10-31 1:24:53
83,2,2016-10-31 1:24:53
84,2,2016-10-31 1:24:53
85,26,2016-10-31 1:24:53
86,26,2016-10-31 1:24:53
87,26,2016-10-31 1:24:53
88,27,2016-10-31 1:24:53
89,27,2016-10-31 1:24:53
90,27,2016-10-31 1:24:53
91,28,2016-10-31 1:24:53
92,28,2016-10-31 1:24:53
93,28,2016-10-31 1:24:53
94,29,2016-10-31 1:24:53
95,29,2016-10-31 1:24:53
96,29,2016-10-31 1:24:53
97,30,2016-10-31 1:24:53
98,30,2016-10-31 1:24:53
99,30,2016-10-31 1:24:53
100,31,2016-10-31 1:24:53
101,31,2016-10-31 1:24:53
102,31,2016-10-31 1:24:53
103,32,2016-10-31 1:24:53
104,32,2016-10-31 1:24:53
105,32,2016-10-31 1:24:53
106,33,2016-10-31 1:24:53
107,33,2016-10-31 1:24:53
108,33,2016-10-31 1:24:53
109,34,2016-10-31 1:24:53
110,34,2016-10-31 1:24:53
111,34,2016-10-31 1:24:53
112,35,2016-10-31 1:24:53
113,35,2016-10-31 1:24:53
114,35,2016-10-31 1:24:53
115,36,2016-10-31 1:24:53
116,36,2016-10-31 1:24:53
117,36,2016-10-31 1:24:53
118,37,2016-10-31 1:24:53
119,37,2016-10-31 1:24:53
120,37,2016-10-31 1:24:53
121,38,2016-10-31 1:24:53
122,38,2016-10-31 1:24:53
123,38,2016-10-31 1:24:53
124,39,2016-10-31 1:24:53
125,39,2016-10-31 1:24:53
126,39,2016-10-31 1:24:53
127,40,2016-10-31 1:24:53
128,40,2016-10-31 1:24:53
129,40,2016-10-31 1:24:53
130,41,2016-10-31 1:24:53
131,41,2016-10-31 1:24:53
132,41,2016-10-31 1:24:53
133,41,2016-10-31 1:24:53
134,41,2016-10-31 1:24:53
135,41,2016-10-31 1:24:53
136,42,2016-10-31 1:24:53
137,42,2016-10-31 1:24:53
138,42,2016-10-31 1:24:53
139,42,2016-10-31 1:24:53
140,42,2016-10-31 1:24:53
141,42,2016-10-31 1:24:53
142,43,2016-10-31 1:24:53
143,43,2016-10-31 1:24:53
144,43,2016-10-31 1:24:53
145,43,2016-10-31 1:24:53
146,43,2016-10-31 1:24:53
147,43,2016-10-31 1:24:53
148,79,2016-10-31 1:24:53
149,79,2016-10-31 1:24:53
150,79,2016-10-31 1:24:53
151,44,2016-10-31 1:24:53
152,44,2016-10-31 1:24:53
153,44,2016-10-31 1:24:53
154,80,2016-10-31 1:24:53
155,80,2016-10-31 1:24:53
156,80,2016-10-31 1:24:53
157,45,2016-10-31 1:24:53
158,45,2016-10-31 1:24:53
159,45,2016-10-31 1:24:53
160,46,2016-10-31 1:24:53
161,46,2016-10-31 1:24:53
162,46,2016-10-31 1:24:53
163,47,2016-10-31 1:24:53
164,47,2016-10-31 1:24:53
165,47,2016-10-31 1:24:53
166,48,2016-10-31 1:24:53
167,48,2016-10-31 1:24:53
168,48,2016-10-31 1:24:53
169,49,2016-10-31 1:24:53
170,49,2016-10-31 1:24:53
171,49,2016-10-31 1:24:53
172,50,2016-10-31 1:24:53
173,50,2016-10-31 1:24:53
174,50,2016-10-31 1:24:53
175,51,2016-10-31 1:24:53
176,51,2016-10-31 1:24:53
177,51,2016-10-31 1:24:53
178,52,2016-10-31 1:24:53
179,52,2016-10-31 1:24:53
180,52,2016-10-31 1:24:53
181,53,2016-10-31 1:24:53
182,53,2016-10-31 1:24:53
183,53,2016-10-31 1:24:53
184,54,2016-10-31 1:24:53
185,54,2016-10-31 1:24:53
186,54,2016-10-31 1:24:53
187,55,2016-10-31 1:24:53
188,55,2016-10-31 1:24:53
189,55,2016-10-31 1:24:53
190,56,2016-10-31 1:24:53
191,56,2016-10-31 1:24:53
192,56,2016-10-31 1:24:53
193,57,2016-10-31 1:24:53
194,57,2016-10-31 1:24:53
195,57,2016-10-31 1:24:53
196,81,2016-10-31 1:24:53
197,81,2016-10-31 1:24:53
198,81,2016-10-31 1:24:53
199,58,2016-10-31 1:24:53
200,58,2016-10-31 1:24:53
201,58,2016-10-31 1:24:53
202,58,2016-10-31 1:24:53
203,58,2016-10-31 1:24:53
204,58,2016-10-31 1:24:53
205,59,2016-10-31 1:24:53
206,59,2016-10-31 1:24:53
207,59,2016-10-31 1:24:53
208,59,2016-10-31 1:24:53
209,59,2016-10-31 1:24:53
210,59,2016-10-31 1:24:53
211,60,2016-10-31 1:24:53
212,60,2016-10-31 1:24:53
213,60,2016-10-31 1:24:53
214,60,2016-10-31 1:24:53
215,60,2016-10-31 1:24:53
216,60,2016-10-31 1:24:53
217,61,2016-10-31 1:24:53
218,61,2016-10-31 1:24:53
219,61,2016-10-31 1:24:53
220,61,2016-10-31 1:24:53
221,61,2016-10-31 1:24:53
222,61,2016-10-31 1:24:53
223,62,2016-10-31 1:24:53
224,62,2016-10-31 1:24:53
225,62,2016-10-31 1:24:53
226,62,2016-10-31 1:24:53
227,62,2016-10-31 1:24:53
228,62,2016-10-31 1:24:53
232,63,2016-10-31 1:24:53
233,63,2016-10-31 1:24:53
234,63,2016-10-31 1:24:53
235,63,2016-10-31 1:24:53
236,63,2016-10-31 1:24:53
237,63,2016-10-31 1:24:53
238,64,2016-10-31 1:24:53
239,64,2016-10-31 1:24:53
240,64,2016-10-31 1:24:53
241,64,2016-10-31 1:24:53
242,64,2016-10-31 1:24:53
243,64,2016-10-31 1:24:53
244,65,2016-10-31 1:24:53
245,65,2016-10-31 1:24:53
246,65,2016-10-31 1:24:53
247,65,2016-10-31 1:24:53
248,65,2016-10-31 1:24:53
249,65,2016-10-31 1:24:53
250,66,2016-10-31 1:24:53
251,66,2016-10-31 1:24:53
252,66,2016-10-31 1:24:53
253,67,2016-10-31 1:24:53
254,67,2016-10-31 1:24:53
255,67,2016-10-31 1:24:53
256,67,2016-10-31 1:24:53
257,67,2016-10-31 1:24:53
258,67,2016-10-31 1:24:53
259,68,2016-10-31 1:24:53
260,68,2016-10-31 1:24:53
261,68,2016-10-31 1:24:53
262,69,2016-10-31 1:24:53
263,69,2016-10-31 1:24:53
264,69,2016-10-31 1:24:53
265,70,2016-10-31 1:24:53
266,70,2016-10-31 1:24:53
267,70,2016-10-31 1:24:53
268,70,2016-10-31 1:24:53
269,70,2016-10-31 1:24:53
270,70,2016-10-31 1:24:53
271,71,2016-10-31 1:24:53
272,71,2016-10-31 1:24:53
273,71,2016-10-31 1:24:53
274,71,2016-10-31 1:24:53
275,71,2016-10-31 1:24:53
276,71,2016-10-31 1:24:53
277,72,2016-10-31 1:24:53
278,72,2016-10-31 1:24:53
279,72,2016-10-31 1:24:53
280,72,2016-10-31 1:24:53
281,72,2016-10-31 1:24:53
282,72,2016-10-31 1:24:53
283,73,2016-10-31 1:24:53
284,73,2016-10-31 1:24:53
285,73,2016-10-31 1:24:53
286,73,2016-10-31 1:24:53
287,73,2016-10-31 1:24:53
288,73,2016-10-31 1:24:53
289,74,2016-10-31 1:24:53
290,74,2016-10-31 1:24:53
291,74,2016-10-31 1:24:53
292,74,2016-10-31 1:24:53
293,74,2016-10-31 1:24:53
294,74,2016-10-31 1:24:53
295,75,2016-10-31 1:24:53
296,75,2016-10-31 1:24:53
297,75,2016-10-31 1:24:53
298,75,2016-10-31 1:24:53
299,75,2016-10-31 1:24:53
300,75,2016-10-31 1:24:53
301,76,2016-10-31 1:24:53
302,76,2016-10-31 1:24:53
303,76,2016-10-31 1:24:53
304,76,2016-10-31 1:24:53
305,76,2016-10-31 1:24:53
306,76,2016-10-31 1:24:53
307,77,2016-10-31 1:24:53
308,77,2016-10-31 1:24:53
309,77,2016-10-31 1:24:53
310,78,2016-10-31 1:24:53
311,78,2016-10-31 1:24:53
312,78,2016-10-31 1:24:53
313,82,2016-10-31 1:24:53
314,82,2016-10-31 1:24:53
315,82,2016-10-31 1:24:53
316,83,2016-10-31 1:24:53
317,83,2016-10-31 1:24:53
318,83,2016-10-31 1:24:53
319,2,2016-10-31 1:24:53
320,2,2016-10-31 1:24:53
321,2,2016-10-31 1:24:53
322,17,2016-10-31 1:24:53
323,17,2016-10-31 1:24:53
324,17,2016-10-31 1:24:53
325,38,2016-10-31 1:24:53
326,38,2016-10-31 1:24:53
327,38,2016-10-31 1:24:53
328,29,2016-10-31 1:24:53
329,29,2016-10-31 1:24:53
330,29,2016-10-31 1:24:53
331,63,2016-10-31 1:24:53
332,63,2016-10-31 1:24:53
333,63,2016-10-31 1:24:53
334,43,2016-10-31 1:24:53
335,43,2016-10-31 1:24:53
336,43,2016-10-31 1:24:53
337,20,2016-10-31 1:24:53
338,20,2016-10-31 1:24:53
339,20,2016-10-31 1:24:53
340,79,2016-10-31 1:24:53
341,79,2016-10-31 1:24:53
342,79,2016-10-31 1:24:53
343,65,2016-10-31 1:24:53
344,65,2016-10-31 1:24:53
345,65,2016-10-31 1:24:53
346,77,2016-10-31 1:24:53
347,77,2016-10-31 1:24:53
348,77,2016-10-31 1:24:53
349,74,2016-10-31 1:24:53
